"Identity","Name","Description","Identity e-mail","Phonenumber","Keywords","Adres","PC","Gemeente","Taal","Actief","Nieuwe identity"
9158,"Garage MOYAERT","Hyundai Garage MOYAERT info@moyaert.hyundai.be","info@moyaert.hyundai.be","056/21.53.46","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, Garage MOYAERT, KUURNE, Brugsesteenweg 133-135, 8520","Brugsesteenweg 133-135","8520","KUURNE","NL",1,"service@moyaert.hyundai.be"
2101,"MULLENS LEUVEN","Hyundai MULLENS LEUVEN info@mullensleuven.hyundai.be","info@mullensleuven.hyundai.be","016/20.43.04","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MULLENS LEUVEN, HERENT, Brusselsesteenweg 39, 3020","Brusselsesteenweg 39","3020","HERENT","NL",1,"service.leuven@mullens.hyundai.be"
2103,"GARAGE NAWROT","Hyundai GARAGE NAWROT info@nawrot.hyundai.be","info@nawrot.hyundai.be","03/314.61.45","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE NAWROT, RIJKEVORSEL, Oostmallesteenweg 63, 2310","Oostmallesteenweg 63","2310","RIJKEVORSEL","NL",1,"service@nawrot.hyundai.be"
9501,"GARAGE PASTURE","Hyundai GARAGE PASTURE info@pasture.hyundai.be","info@pasture.hyundai.be","071/53.33.09","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE PASTURE, STREE, Chaussée de Charleroi 199, 6511","Chaussée de Charleroi 199","6511","STREE","F",1,"service@pasture.hyundai.be"
9702,"AUTOHANDEL PATRICK","Hyundai AUTOHANDEL PATRICK info@autohandel-patrick.hyundai.be","info@autohandel-patrick.hyundai.be","053/80.63.93","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTOHANDEL PATRICK, ERPE-MERE, Leedsesteenweg 117, 9420","Leedsesteenweg 117","9420","ERPE-MERE","NL",1,"service@autohandel-patrick.hyundai.be"
2095,"PIERARD FRÈRES","Hyundai PIERARD FRÈRES info@pierardfreres.hyundai.be","info@pierardfreres.hyundai.be","083/21.21.83","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, PIERARD FRÈRES, ACHÊNE - CINEY Rue du Parc Industriel  18, 5590","Rue du Parc Industriel  18","5590","ACHÊNE - CINEY","F",1,"service@pierard.hyundai.be"
2067,"AUTOBEDRIJF VacK","Hyundai AUTOBEDRIJF VacK info@polfliet.hyundai.be","info@polfliet.hyundai.be","03/296.53.73","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTOBEDRIJF VacK, BORNEM, Puursesteenweg 319, 2880","Puursesteenweg 319","2880","BORNEM","NL",1,"service@vack.hyundai.be"
7030,"KESSEL-LO MOTORS","Hyundai KESSEL-LO MOTORS info@kessellomotors.hyundai.be","info@kessellomotors.hyundai.be","016/26.16.77","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, KESSEL-LO MOTORS, KESSEL-LO, Diestsesteenweg 600, 3010","Diestsesteenweg 600","3010","KESSEL-LO","NL",1,"service@kessellomotors.hyundai.be"
2116,"B.W. MOTORS Wauthier-Braine","Hyundai RV MOTORS Wauthier-Braine info@bwmotorswauthierbraine.hyundai.be","info@bwmotorswauthierbraine.hyundai.be","02/355.39.30","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, B.W. MOTORS Whautier-Braine, WAUTHIER-BRAINE, Chaussée de Tubize 252, 1440","Chaussée de Tubize 252",1440,"WHAUTIER-BRAINE","F",1,"service.braine@bw.hyundai.be"
2029,"B.W. MOTORS Nivelles","Hyundai B.W. MOTORS Nivelles info@bwmotorsnivelles.hyundai.be","info@bwmotorsnivelles.hyundai.be","067/22.03.61","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, B.W. MOTORS Nivelles, NIVELLES, Chaussée de Bruxelles 230, 1400","Chaussée de Bruxelles 230","1400","NIVELLES","F",1,"service.nivelles@bw.hyundai.be"
2115,"B.W.MOTORS Wavre","Hyundai B.W. MOTORS Wavre info@bwmotorswavre.hyundai.be","info@bwmotorswavre.hyundai.be","010/81.83.50","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, B.W. MOTORS Wavre, WAVRE, Chaussée de Louvain 498, 1300","Chaussée de Louvain 498",1300,"WAVRE","F",1,"service.wavre@bw.hyundai.be"
2074,"GARAGE SCHAUS A.","Hyundai GARAGE SCHAUS A. info@schaus.hyundai.be","info@schaus.hyundai.be","063/23.03.03","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE SCHAUS A., ARLON, Route de Bastogne 469, 6700","Route de Bastogne 469","6700","ARLON","F",1,"service@schaus.hyundai.be"
2044,"GARAGE SCHOKKAERT","Hyundai GARAGE SCHOKKAERT info@schokkaert.hyundai.be","info@schokkaert.hyundai.be","054/33.63.80","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE SCHOKKAERT, NINOVE, Brakelsesteenweg 55, 9400","Brakelsesteenweg 55","9400","NINOVE","NL",1,"service@schokkaert.hyundai.be"
2030,"SEPULCHRE","Hyundai SEPULCHRE info@sepulchre.hyundai.be","info@sepulchre.hyundai.be","080/79.12.12","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, SEPULCHRE, MALMEDY, Route de Waimes  99, 4960","Route de Waimes  99","4960","MALMEDY","F",1,"service@sepulchre.hyundai.be"
2068,"SERVAYGE","Hyundai SERVAYGE info@servayge.hyundai.be","info@servayge.hyundai.be","056/64.48.79","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, SERVAYGE, ZWEVEGEM-MOEN, Stationsstraat 47, 8552","Stationsstraat 47","8552","ZWEVEGEM-MOEN","NL",1,"service@servayge.hyundai.be"
2110,"STERCKX MOTORS","Hyundai STERCKX MOTORS info@sterckxmotors.hyundai.be","info@sterckxmotors.hyundai.be","02/361.08.72","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, STERCKX MOTOR, HALLE, Brusselsesteenweg 480, 1500","Brusselsesteenweg 480",1500,"HALLE","NL",1,"service@sterckxmotors.hyundai.be"
2106,"ST. MICHEL CARS","Hyundai ST.MICHEL CARS info@stmichelcars.1200woluwe.hyundai.be","info@stmichelcars.1200woluwe.hyundai.be","02/705.45.81","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, ST.MICHEL CARS , WOLUWE-ST-LAMBERT, Chaussée de Louvain 1210, 1200","Chaussée de Louvain 1210",1200,"WOLUWE-ST-LAMBERT","F",1,"service.1932woluwe@stmichelcars.hyundai.be"
2011,"ST. MICHEL CARS","Hyundai ST. MICHEL CARS info@stmichelcars.1932woluwe.hyundai.be","info@stmichelcars.1932woluwe.hyundai.be","02/720.76.59","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, ST. MICHEL CARS, WOLUWE-ST-ETIENNE, Chaussée de Louvain 53, 1932","Chaussée de Louvain 53","1932","WOLUWE-ST-ETIENNE","F",1,"service.1932woluwe@stmichelcars.hyundai.be"
2073,"ST. MICHEL CARS","Hyundai ST. MICHEL CARS info@stmichelcars.1150woluwe.hyundai.be","info@stmichelcars.1150woluwe.hyundai.be","02/771.60.33","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, ST. MICHEL CARS, BRUXELLES (Stockel), rue F. Desmedt 122-124, 1150","rue F. Desmedt 122-124","1150","BRUXELLES (Stockel)","F",1,"service.1932woluwe@stmichelcars.hyundai.be"
2079,"THEVES AUTOMOBILE","Hyundai THEVES AUTOMOBILE info@theves.hyundai.lu","info@theves.hyundai.lu","00352/26 91 36 30","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, THEVES AUTOMOBILE, HOLZTHUM, 1 Rue Principale, L-9834","1 Rue Principale","L-9834","HOLZTHUM","F",1,"service@theves.hyundai.lu"
9817,"UMBERTO","Hyundai UMBERTO info@umberto.hyundai.be","info@umberto.hyundai.be","04/225.00.18","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, UMBERTO, LIÈGE, Rue Ste Walburge 326, 4000","Rue Ste Walburge 326","4000","LIÈGE","F",1,"service@umberto.hyundai.be"
2105,"L'UNIVERSELLE","Hyundai L'UNIVERSELLE info@universelle.beyne.hyundai.be","info@universelle.beyne.hyundai.be","04/358.39.39","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, L'UNIVERSELLE, BEYNE-HEUSAY, Grand Route 575, 4610","Grand Route 575","4610","BEYNE-HEUSAY","F",1,"service.beyne@luniverselle.hyundai.be"
2104,"L'UNIVERSELLE","Hyundai L'UNIVERSELLE info@universelle.herstal.hyundai.be","info@universelle.herstal.hyundai.be","04/227.90.90","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, L'UNIVERSELLE, HERSTAL, Boulevard Zénobe Gramme 25, 4040","Boulevard Zénobe Gramme 25","4040","HERSTAL","F",1,"service.herstal@luniverselle.hyundai.be"
2071,"GARAGE STEPHAN VANBELLE","Hyundai GARAGE STEPHAN VANBELLE info@vanbelle.hyundai.be","info@vanbelle.hyundai.be","054/41.64.81","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE STEPHAN VANBELLE, GERAARDSBERGEN Astridlaan 169, 9500","Astridlaan 169","9500","GERAARDSBERGEN","NL",1,"service@vanbelle.hyundai.be"
2058,"GARAGE W. VAN HERCK","Hyundai GARAGE W. VAN HERCK info@vanherck.hyundai.be","info@vanherck.hyundai.be","014/45.05.41","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE W. VAN HERCK, TURNHOUT Noord-Brabantlaan 10, 2300","Noord-Brabantlaan 10","2300","TURNHOUT","NL",1,"service@vanherck.hyundai.be"
2072,"GARAGE STEPHANE VANNESTE","Hyundai GARAGE STEPHANE VANNESTE info@vanneste.hyundai.be","info@vanneste.hyundai.be","056/33.22.64","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE STEPHANE VANNESTE, HERSEAUX Rue des Croisiers 62, 7712","Rue des Croisiers 62","7712","HERSEAUX","F",1,"service@vanneste.hyundai.be"
9703,"VERHEYDEN","Hyundai VERHEYDEN info@verheyden.hyundai.be","info@verheyden.hyundai.be","03/663.07.75","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, VERHEYDEN, WUUSTWEZEL, Bredabaan 690, 2990","Bredabaan 690","2990","WUUSTWEZEL","NL",1,"service@verheyden.hyundai.be"
2039,"GARAGE VERHOEVEN","Hyundai GARAGE VERHOEVEN info@verhoeven.hyundai.be","info@verhoeven.hyundai.be","03/384.21.75","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE VERHOEVEN, SCHILDE, Turnhoutsebaan 409, 2970","Turnhoutsebaan 409","2970","SCHILDE","NL",1,"service@verhoeven.hyundai.be"
2109,"VPF MOTOR","Hyundai VPF MOTOR info@vpfmotor.hyundai.be","info@vpfmotor.hyundai.be","011/24.44.17","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, VPF MOTOR, Beringen, Koolmijnlaan 142, 3582","Koolmijnlaan 142",3582,"Beringen","NL",1,"service@vpfmotor.hyundai.be"
2055,"Garage Carrosserie Pascal en Bart","Hyundai Garage Carrosserie Pascal en Bart info@pascal-en-bart.hyundai.be","info@pascal-en-bart.hyundai.be","09/252.13.90","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, Garage Carrosserie Pascal en Bart, WETTEREN, Mellesteenweg 88, 9230","Mellesteenweg 88","9230","WETTEREN","NL",0,"please delete"
2050,"WILLAME-MOTORS","Hyundai WILLAME-MOTORS info@willame.hyundai.be","info@willame.hyundai.be","084/31.27.07","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, WILLAME-MOTORS, MARCHE-EN-FAMENNE, Avenue de la Toison d'Or 137, 6900","Avenue de la Toison d'Or 137","6900","MARCHE-EN-FAMENNE","F",1,"service@willame.hyundai.be"
2059,"Garage Carrosserie WILLE","Hyundai Garage Carrosserie WILLE info@wille.hyundai.be","info@wille.hyundai.be","09/222.15.00","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, Garage Carrosserie WILLE, NEVELE, Ter Mote 1, 9850","Ter Mote 1","9850","NEVELE","NL",1,"service@wille.hyundai.be"
9136,"WILLEMS","Hyundai WILLEMS info@willems.hyundai.be","info@willems.hyundai.be","014/65.70.18","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, WILLEMS, WEELDE, Koning Albertstraat 39, 2381","Koning Albertstraat 39","2381","WEELDE","NL",1,"service@willems.hyundai.be"
2056,"WULFFAERT","Hyundai WULFFAERT info@wulffaert.hyundai.be","info@wulffaert.hyundai.be","09/377.35.25","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, WULFFAERT, EEKLO, Kriekmoerstraat 103, 9900","Kriekmoerstraat 103","9900","EEKLO","NL",1,"service@wulffaert.hyundai.be"
9144,"WUYTS","Hyundai WUYTS info@wuyts.hyundai.be","info@wuyts.hyundai.be","015/75.61.27","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, WUYTS, BEERZEL, Berlaarbaan 10, 2580","Berlaarbaan 10","2580","BEERZEL","NL",1,"service@wuyts.hyundai.be"
2034,"GARAGE ZUNE","Hyundai GARAGE ZUNE info@zune.libramont.hyundai.be","info@zune.libramont.hyundai.be","061/22.31.31","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE ZUNE, LIBRAMONT, Avenue de Bouillon, 150, 6800","Avenue de Bouillon, 150","6800","LIBRAMONT","F",1,"service.libramont@zune.hyundai.be"
2075,"GARAGE ZUNE","Hyundai GARAGE ZUNE info@zune.bastogne.hyundai.be","info@zune.bastogne.hyundai.be","061/21.33.16","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE ZUNE, BASTOGNE, Luzery 232, 6600","Luzery 232","6600","BASTOGNE","F",1,"service.bastogne@zune.hyundai.be"
2122,"Marrazza Luigi","Hyundai MARRAZZA LUIGI info@marrazza.hyundai.be","info@marrazza.hyundai.be","081/30.70.80","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MARRAZZA LUIGI, Erpent, Chaussée de Marche 601, 5101","Chaussée de Marche 601",5101,"ERPENT","F",1,"service@marrazza.hyundai.be"
